FIT Profiler Report

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                       |  Mean duration (s)|  Num calls            |  Total time (s)       |  Percentage %         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                        |  -               |  45425                 |  337.93               |  100 %                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                           |  28.144          |  10                    |  281.44               |  83.284               |
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                                   |  0.13837         |  970                   |  134.22               |  39.719               |
|  run_training_batch                                                                                                                                                           |  0.087577        |  970                   |  84.95                |  25.138               |
|  [LightningModule]RepLearner.optimizer_step                                                                                                                                   |  0.087392        |  970                   |  84.771               |  25.085               |
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                                 |  0.06894         |  970                   |  66.872               |  19.789               |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end                     |  3.398           |  10                    |  33.98                |  10.055               |
|  [_EvaluationLoop].val_next                                                                                                                                                   |  0.12609         |  262                   |  33.035               |  9.7755               |
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                               |  0.068687        |  262                   |  17.996               |  5.3253               |
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                                      |  0.015822        |  970                   |  15.347               |  4.5414               |
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                               |  0.0092766       |  1232                  |  11.429               |  3.382                |
|  [LightningModule]RepLearner.transfer_batch_to_device                                                                                                                         |  0.0089237       |  1232                  |  10.994               |  3.2533               |
|  [LightningDataModule]MultiDataLoader.prepare_data                                                                                                                            |  8.2014          |  1                     |  8.2014               |  2.4269               |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end               |  0.68698         |  10                    |  6.8698               |  2.0329               |
