----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                       |  Mean duration (s)    |  Num calls            |  Total time (s)       |  Percentage %         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                        |  -                    |  45425                |  337.3                |  100 %                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                           |  27.213               |  10                   |  272.13               |  80.678               |
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                                   |  0.12822              |  970                  |  124.37               |  36.873               |
|  run_training_batch                                                                                                                                                           |  0.088058             |  970                  |  85.416               |  25.323               |
|  [LightningModule]RepLearner.optimizer_step                                                                                                                                   |  0.087873             |  970                  |  85.236               |  25.27                |
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                                 |  0.069584             |  970                  |  67.496               |  20.011               |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end                     |  3.4385               |  10                   |  34.385               |  10.194               |
|  [_EvaluationLoop].val_next                                                                                                                                                   |  0.11935              |  262                  |  31.268               |  9.2701               |
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                               |  0.068312             |  262                  |  17.898               |  5.3061               |
|  [LightningDataModule]MultiDataLoader.setup                                                                                                                                   |  16.889               |  1                    |  16.889               |  5.0071               |
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                                      |  0.015656             |  970                  |  15.186               |  4.5022               |
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                               |  0.0094078            |  1232                 |  11.59                |  3.4362               |
|  [LightningModule]RepLearner.transfer_batch_to_device                                                                                                                         |  0.0089859            |  1232                 |  11.071               |  3.2821               |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end               |  0.67598              |  10                   |  6.7598               |  2.0041               |
|  [LightningDataModule]MultiDataLoader.prepare_data                                                                                                                            |  1.2078               |  1                    |  1.2078               |  0.35808              |
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                                 |  0.0011083            |  970                  |  1.075                |  0.31871              |
|  [LightningModule]RepLearner.optimizer_zero_grad                                                                                                                              |  0.0004329            |  970                  |  0.41991              |  0.12449              |
|  [LightningDataModule]MultiDataLoader.on_after_batch_transfer                                                                                                                 |  0.00032277           |  1232                 |  0.39766              |  0.11789              |
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                            |  0.00081261           |  262                  |  0.2129               |  0.06312              |
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                                  |  0.0087649            |  11                   |  0.096414             |  0.028584             |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end                     |  3.533e-05            |  970                  |  0.03427              |  0.01016              |
|  [LightningModule]RepLearner.configure_gradient_clipping                                                                                                                      |  2.8533e-05           |  970                  |  0.027677             |  0.0082053            |
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                                 |  0.0018074            |  10                   |  0.018074             |  0.0053583            |
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                          |  5.8637e-05           |  262                  |  0.015363             |  0.0045546            |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                                  |  0.014221             |  1                    |  0.014221             |  0.0042162            |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end               |  1.2069e-05           |  970                  |  0.011707             |  0.0034707            |
|  [LightningModule]RepLearner.on_validation_model_zero_grad                                                                                                                    |  0.00090185           |  10                   |  0.0090185            |  0.0026737            |
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                               |  0.00060142           |  10                   |  0.0060142            |  0.001783             |
|  [Callback]ModelSummary.on_fit_start                                                                                                                                          |  0.0057358            |  1                    |  0.0057358            |  0.0017005            |
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                                |  0.00045733           |  11                   |  0.0050306            |  0.0014914            |
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                                    |  4.6728e-06           |  970                  |  0.0045326            |  0.0013438            |
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                               |  4.2019e-06           |  970                  |  0.0040758            |  0.0012084            |
|  [LightningModule]RepLearner.on_validation_model_eval                                                                                                                         |  0.00035494           |  11                   |  0.0039043            |  0.0011575            |
|  [Callback]TQDMProgressBar.on_before_zero_grad                                                                                                                                |  3.8542e-06           |  970                  |  0.0037386            |  0.0011084            |
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                                  |  3.5743e-06           |  970                  |  0.0034671            |  0.0010279            |
|  [LightningModule]RepLearner.on_before_batch_transfer                                                                                                                         |  2.6927e-06           |  1232                 |  0.0033173            |  0.00098349           |
|  [Callback]TQDMProgressBar.on_before_backward                                                                                                                                 |  2.2806e-06           |  970                  |  0.0022122            |  0.00065586           |
|  [Callback]TQDMProgressBar.on_before_optimizer_step                                                                                                                           |  2.1481e-06           |  970                  |  0.0020837            |  0.00061774           |
|  [Callback]TQDMProgressBar.on_sanity_check_start                                                                                                                              |  0.001701             |  1                    |  0.001701             |  0.00050429           |
|  [LightningModule]RepLearner.on_train_batch_start                                                                                                                             |  1.7272e-06           |  970                  |  0.0016754            |  0.00049671           |
|  [Callback]ModelSummary.on_after_backward                                                                                                                                     |  1.6816e-06           |  970                  |  0.0016312            |  0.00048359           |
|  [Callback]ModelSummary.on_before_zero_grad                                                                                                                                   |  1.6142e-06           |  970                  |  0.0015658            |  0.00046421           |
|  [Callback]ModelSummary.on_train_batch_start                                                                                                                                  |  1.5247e-06           |  970                  |  0.0014789            |  0.00043845           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_start                   |  1.5169e-06           |  970                  |  0.0014714            |  0.00043622           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad                    |  1.4527e-06           |  970                  |  0.0014091            |  0.00041776           |
|  [LightningModule]RepLearner.on_before_zero_grad                                                                                                                              |  1.4295e-06           |  970                  |  0.0013866            |  0.00041108           |
|  [LightningModule]RepLearner.on_train_batch_end                                                                                                                               |  1.3676e-06           |  970                  |  0.0013266            |  0.00039329           |
|  [LightningModule]RepLearner.on_after_backward                                                                                                                                |  1.3584e-06           |  970                  |  0.0013176            |  0.00039063           |
|  [Callback]ModelSummary.on_before_backward                                                                                                                                    |  1.3075e-06           |  970                  |  0.0012682            |  0.00037599           |
|  [Callback]ModelSummary.on_before_optimizer_step                                                                                                                              |  1.3039e-06           |  970                  |  0.0012648            |  0.00037497           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_backward                     |  1.3005e-06           |  970                  |  0.0012614            |  0.00037398           |
|  [LightningModule]RepLearner.configure_optimizers                                                                                                                             |  0.0012398            |  1                    |  0.0012398            |  0.00036758           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_after_backward                      |  1.2737e-06           |  970                  |  0.0012355            |  0.00036629           |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_after_backward                |  1.2707e-06           |  970                  |  0.0012326            |  0.00036542           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_optimizer_step               |  1.2437e-06           |  970                  |  0.0012064            |  0.00035765           |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_start             |  1.1949e-06           |  970                  |  0.001159             |  0.00034361           |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad              |  1.1936e-06           |  970                  |  0.0011578            |  0.00034324           |
|  [Strategy]SingleDeviceStrategy.on_train_batch_start                                                                                                                          |  1.1926e-06           |  970                  |  0.0011568            |  0.00034297           |
|  [LightningModule]RepLearner.on_before_backward                                                                                                                               |  1.1698e-06           |  970                  |  0.0011347            |  0.00033641           |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_backward               |  1.1624e-06           |  970                  |  0.0011275            |  0.00033428           |
|  [Callback]ModelSummary.on_validation_batch_end                                                                                                                               |  4.2374e-06           |  262                  |  0.0011102            |  0.00032914           |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_optimizer_step         |  1.1285e-06           |  970                  |  0.0010947            |  0.00032454           |
|  [LightningModule]RepLearner.on_before_optimizer_step                                                                                                                         |  1.0312e-06           |  970                  |  0.0010003            |  0.00029656           |
|  [LightningModule]RepLearner.on_validation_batch_end                                                                                                                          |  3.6777e-06           |  262                  |  0.00096356           |  0.00028567           |
|  [Callback]ModelSummary.on_validation_batch_start                                                                                                                             |  2.1123e-06           |  262                  |  0.00055343           |  0.00016408           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_batch_end                |  1.7216e-06           |  262                  |  0.00045105           |  0.00013372           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_end                      |  4.0435e-05           |  11                   |  0.00044479           |  0.00013187           |
|  [Callback]TQDMProgressBar.on_train_start                                                                                                                                     |  0.00043741           |  1                    |  0.00043741           |  0.00012968           |
|  [Callback]TQDMProgressBar.on_train_end                                                                                                                                       |  0.00041632           |  1                    |  0.00041632           |  0.00012343           |
|  [LightningModule]RepLearner.on_validation_batch_start                                                                                                                        |  1.5306e-06           |  262                  |  0.00040103           |  0.00011889           |
