----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                       |  Mean duration (s)    |  Num calls            |  Total time (s)       |  Percentage %         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                        |  -                    |  45857                |  349.31               |  100 %                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                           |  27.741               |  10                   |  277.41               |  79.415               |
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                                   |  0.13144              |  980                  |  128.81               |  36.876               |
|  run_training_batch                                                                                                                                                           |  0.087197             |  980                  |  85.453               |  24.463               |
|  [LightningModule]RepLearner.optimizer_step                                                                                                                                   |  0.08702              |  980                  |  85.279               |  24.414               |
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                                 |  0.069269             |  980                  |  67.884               |  19.434               |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end                     |  3.4436               |  10                   |  34.436               |  9.8582               |
|  [_EvaluationLoop].val_next                                                                                                                                                   |  0.12344              |  262                  |  32.341               |  9.2585               |
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                               |  0.069094             |  262                  |  18.103               |  5.1824               |
|  [LightningDataModule]MultiDataLoader.setup                                                                                                                                   |  16.035               |  1                    |  16.035               |  4.5904               |
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                                      |  0.0152               |  980                  |  14.896               |  4.2644               |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end               |  1.3771               |  10                   |  13.771               |  3.9424               |
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                               |  0.0092162            |  1242                 |  11.447               |  3.2769               |
|  [LightningModule]RepLearner.transfer_batch_to_device                                                                                                                         |  0.0087964            |  1242                 |  10.925               |  3.1276               |
|  [LightningDataModule]MultiDataLoader.prepare_data                                                                                                                            |  1.1829               |  1                    |  1.1829               |  0.33864              |
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                                 |  0.0010729            |  980                  |  1.0515               |  0.30102              |
|  [LightningModule]RepLearner.optimizer_zero_grad                                                                                                                              |  0.00042044           |  980                  |  0.41204              |  0.11796              |
|  [LightningDataModule]MultiDataLoader.on_after_batch_transfer                                                                                                                 |  0.00032225           |  1242                 |  0.40023              |  0.11458              |
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                            |  0.00077552           |  262                  |  0.20319              |  0.058168             |
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                                 |  0.01339              |  10                   |  0.1339               |  0.038333             |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end                     |  3.687e-05            |  980                  |  0.036133             |  0.010344             |
|  [LightningModule]RepLearner.configure_gradient_clipping                                                                                                                      |  2.7e-05              |  980                  |  0.02646              |  0.007575             |
