----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                       |  Mean duration (s)    |  Num calls            |  Total time (s)       |  Percentage %         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                        |  -                    |  45437                |  443.29               |  100 %                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                           |  35.592               |  10                   |  355.92               |  80.289               |
|  run_training_batch                                                                                                                                                           |  0.22589              |  970                  |  219.12               |  49.429               |
|  [LightningModule]RepLearner.optimizer_step                                                                                                                                   |  0.22569              |  970                  |  218.92               |  49.384               |
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                                 |  0.19831              |  970                  |  192.36               |  43.394               |
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                                   |  0.072047             |  970                  |  69.886               |  15.765               |
|  [_EvaluationLoop].val_next                                                                                                                                                   |  0.15615              |  262                  |  40.912               |  9.229                |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end                     |  3.4412               |  10                   |  34.412               |  7.7628               |
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                               |  0.084671             |  262                  |  22.184               |  5.0043               |
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                                      |  0.02236              |  970                  |  21.689               |  4.8928               |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end               |  1.3614               |  10                   |  13.614               |  3.0711               |
|  [LightningDataModule]MultiDataLoader.setup                                                                                                                                   |  9.903                |  1                    |  9.903                |  2.234                |
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                               |  0.002294             |  1232                 |  2.8262               |  0.63754              |
|  [LightningModule]RepLearner.optimizer_zero_grad                                                                                                                              |  0.0024675            |  970                  |  2.3935               |  0.53992              |
|  [LightningModule]RepLearner.transfer_batch_to_device                                                                                                                         |  0.0015357            |  1232                 |  1.892                |  0.42681              |
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                                 |  0.0018391            |  970                  |  1.7839               |  0.40242              |
|  [LightningDataModule]MultiDataLoader.prepare_data                                                                                                                            |  1.2106               |  1                    |  1.2106               |  0.27309              |
|  [LightningDataModule]MultiDataLoader.on_after_batch_transfer                                                                                                                 |  0.00067918           |  1232                 |  0.83675              |  0.18876              |
